ID,Date,Team,Acquired,Relinquished,Notes
14060,19/04/2009,Jazz,, Mehmet Okur,placed on IL with strained right hamstring
14061,19/04/2009,Jazz,, Morris Almond,placed on IL
14062,19/04/2009,Jazz, C.J. Miles,,activated from IL
14063,19/04/2009,Lakers,, Sun Yue,placed on IL
14064,19/04/2009,Magic,, Jeremy Richardson,placed on IL
14065,19/04/2009,Magic, Rashard Lewis,,activated from IL
14066,19/04/2009,Nuggets,, Sonny Weems,placed on IL
14067,19/04/2009,Nuggets,, Steven Hunter,placed on IL
14068,23/04/2009,Celtics,, Leon Powe,placed on IL with torn ACL and meniscus in left knee (out for season)
14069,23/04/2009,Celtics, Brian Scalabrine,,activated from IL
14070,24/04/2009,Rockets,, Dikembe Mutombo,placed on IL with left knee injury (out for season)
14071,24/04/2009,Rockets, James White,,activated from IL
14072,25/04/2009,Hawks,, Craig Claxton / Speedy Claxton,placed on IL
